site,experiment,section,year,variable,value,units
Bonanza,Bytnerowicz_Acc,5.3,1922,TSOIBNF,274.896,K
Bonanza,Bytnerowicz_Acc,5.3,1923,TSOIBNF,274.797,K
Bonanza,Bytnerowicz_Acc,5.3,1924,TSOIBNF,274.167,K
Bonanza,Bytnerowicz_Acc,5.3,1925,TSOIBNF,273.891,K
Bonanza,Bytnerowicz_Acc,5.3,1926,TSOIBNF,274.021,K
Bonanza,Bytnerowicz_Acc,5.3,1927,TSOIBNF,270.635,K
Bonanza,Bytnerowicz_Acc,5.3,1928,TSOIBNF,275.38,K
Bonanza,Bytnerowicz_Acc,5.3,1929,TSOIBNF,274.004,K
Bonanza,Bytnerowicz_Acc,5.3,1930,TSOIBNF,274.283,K
Bonanza,Bytnerowicz_Acc,5.3,1931,TSOIBNF,274.287,K
Bonanza,Bytnerowicz_Acc,5.3,1932,TSOIBNF,274.739,K
Bonanza,Bytnerowicz_Acc,5.3,1933,TSOIBNF,275.871,K
Bonanza,Bytnerowicz_Acc,5.3,1934,TSOIBNF,276.468,K
Bonanza,Bytnerowicz_Acc,5.3,1935,TSOIBNF,273.469,K
Bonanza,Bytnerowicz_Acc,5.3,1936,TSOIBNF,274.479,K
Bonanza,Bytnerowicz_Acc,5.3,1937,TSOIBNF,274.073,K
Bonanza,Bytnerowicz_Acc,5.3,1938,TSOIBNF,274.97,K
Bonanza,Bytnerowicz_Acc,5.3,1939,TSOIBNF,275.218,K
Bonanza,Bytnerowicz_Acc,5.3,1940,TSOIBNF,275.547,K
Bonanza,Bytnerowicz_Acc,5.3,1941,TSOIBNF,273.668,K
Bonanza,Bytnerowicz_Acc,5.3,1942,TSOIBNF,275.114,K
Bonanza,Bytnerowicz_Acc,5.3,1943,TSOIBNF,274.557,K
Bonanza,Bytnerowicz_Acc,5.3,1944,TSOIBNF,275.204,K
Bonanza,Bytnerowicz_Acc,5.3,1945,TSOIBNF,274.189,K
Bonanza,Bytnerowicz_Acc,5.3,1946,TSOIBNF,275.479,K
Bonanza,Bytnerowicz_Acc,5.3,1947,TSOIBNF,276.355,K
